date,PudongNew,Huangpu,Xuhui,Changning,Jingan,Putuo,Hongkou,Yangpu,Minhang,Baoshan,Jiading,Jinshan,Songjiang,Qingpu,Fengxian,Chongming
2022/3/27,2,1,6,0,5,4,1,0,5,5,3,0,1,0,0,0
2022/3/28,33,0,5,7,3,2,2,0,2,7,2,1,2,2,0,0
2022/3/29,162,6,25,2,7,5,7,3,20,30,7,2,13,0,1,1
2022/3/30,246,13,15,2,7,3,1,2,18,1,8,0,6,3,4,0
2022/3/31,173,5,17,42,3,4,8,3,52,4,6,3,4,0,5,1
2022/4/1,77,5,35,0,11,11,3,10,57,9,7,3,19,0,2,1
2022/4/2,95,21,35,3,24,35,24,16,39,28,18,0,3,3,5,0
2022/4/3,126,10,27,13,25,21,9,29,46,22,9,4,0,2,3,1
2022/4/4,197,7,8,1,1,3,3,9,8,1,3,1,5,1,2,0
2022/4/5,155,13,19,5,11,6,7,10,14,5,5,1,8,6,2,0
2022/4/6,139,7,16,30,25,26,1,9,20,9,5,3,1,4,0,0
2022/4/7,251,6,12,11,5,6,0,16,60,4,5,1,2,0,1,0
2022/4/8,172,7,20,9,23,8,2,5,23,6,3,2,4,7,1,2
2022/4/9,380,31,28,17,21,20,5,19,31,23,6,1,1,2,1,1
2022/4/10,127,20,26,4,27,6,6,7,46,16,4,1,9,1,3,0
2022/4/11,144,10,14,5,9,16,14,12,37,3,12,0,3,3,0,0
2022/4/12,104,14,14,22,46,19,12,8,20,14,1,1,3,7,1,13
2022/4/13,114,13,18,11,13,11,16,3,34,11,4,0,4,5,1,1
2022/4/14,159,6,46,13,9,18,40,1,14,19,4,2,4,6,2,3
2022/4/15,200,8,17,43,9,21,1,4,32,3,4,0,3,9,2,1
2022/4/16,136,13,27,11,18,21,36,5,16,7,8,0,3,3,0,3
2022/4/17,40,15,14,16,10,15,22,6,3,7,4,0,0,2,0,1
2022/4/18,54,35,16,15,21,7,30,1,6,9,6,0,1,12,0,3
2022/4/19,61,15,34,4,13,7,12,2,8,4,0,0,0,1,0,0
2022/4/20,26,10,18,35,10,11,28,5,26,20,5,0,1,4,0,0
2022/4/21,17,17,12,1,9,6,4,3,18,10,3,0,0,3,0,0
2022/4/22,3,8,24,1,8,4,1,3,12,6,1,0,2,1,0,0
2022/4/23,3,1,7,0,2,1,2,6,6,7,2,0,1,6,0,0
2022/4/24,21,2,7,2,6,0,4,4,17,2,4,0,0,0,0,0
2022/4/25,0,1,0,0,1,0,4,0,1,11,0,0,0,0,0,0
2022/4/26,5,0,1,0,6,0,0,0,0,1,0,0,0,0,0,0
2022/4/27,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/4/28,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2022/4/29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/4/30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/2,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0
2022/5/3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022/5/4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022/5/5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
